class,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
water,997.904,637.595,658.668,-1882.03,-1924.36,997.904,-1739.99,630.087,-1628.24,-1325.64,-944.084,277.107,-206.799,536.441,749.348,-482.993,492.001,655.77,-921.193,-1043.16,-1942.49,267.138,366.608,452.238,211.328,-2203.02,-1180.19,433.906
water,914.198,634.24,593.705,-1625.79,-1672.32,914.198,-692.386,707.626,-1670.59,-1408.64,-989.285,214.2,-75.5979,893.439,401.281,-389.933,394.053,666.603,-954.719,-933.934,-625.385,120.059,364.858,476.972,220.878,-2250,-1360.56,524.075
water,3800.81,1671.34,1206.88,449.735,1071.21,546.371,1077.84,214.564,849.599,1283.63,1304.91,542.1,922.619,889.774,836.292,1824.16,1670.27,2307.22,1562.21,1566.16,2208.44,1056.6,385.203,300.56,293.73,2762.57,150.931,3800.81
water,952.178,58.0174,-1599.16,210.714,-1052.63,578.807,-1564.63,-858.39,729.79,-3162.14,-1521.68,433.396,228.153,555.359,530.936,952.178,-1074.76,545.761,-1025.88,368.622,-1786.95,-1227.8,304.621,291.336,369.214,-2202.12,600.359,-1343.55
water,1232.12,72.518,-1220.88,380.436,-1256.93,515.805,-1413.18,-802.942,683.254,-2829.4,-1267.54,461.025,317.521,404.898,563.716,1232.12,-117.779,682.559,-1813.95,155.624,-1189.71,-924.073,432.15,282.833,298.32,-2197.36,626.379,-826.727
forest,7091.96,5102.9,6996.71,201.956,6130.95,6439.3,6818.67,523.379,593.067,6357.93,6504.84,397.83,1566.24,915.435,1602.51,1807.54,890.354,3998.8,7091.96,4953.24,3463.52,395.249,438.907,340.747,691.058,6010.04,1762.23,847.726
water,6423.92,1585.31,2891.64,756.563,2978.58,3215.56,5033.86,5049.72,5520.14,5285.59,6156.19,411.551,6423.92,5215.43,5737.36,5438.11,470.715,1583.78,521.13,4246.5,2057,1579.4,763.285,683.031,585.142,5754.63,828.631,399.562
water,2455.48,1136.44,-761.046,205.408,1647.83,1935.8,-44.5684,2158.98,-1367.92,1242.87,-2646.05,-1238.02,1564.39,877.144,890.149,410.2,1160.25,2455.48,1535,1959.43,-279.317,-384.915,-113.406,1020.72,1660.65,-116.801,-568.05,-1357.14
water,2631.76,1116.86,2631.76,-408.147,1685.7,1046.67,-7.58804,1435.99,-1145.83,1269.33,-2070.45,-819.165,1737.62,1064.97,840.433,248.06,1207.77,2408.21,1287.74,1905.96,-561.347,142.293,48.2714,1272.05,1742.29,-60.3867,-1187.45,-1255.1
water,3192.46,1485.77,-223.142,727.773,180.491,1779.89,2613.97,1869.39,-333.333,1821.83,-891.72,178.746,1389.55,2136.84,824.788,316.108,1180.43,2722.31,3192.46,2152.4,-485.563,480.581,178.781,1763.99,1480.8,931.397,-724.129,-1007.91
water,2511.5,1302.93,-540.333,1977.22,1333.62,2062.17,-196.967,2495.15,-1309.06,1256.08,-2394.8,-819.796,1365.65,1136.42,990.314,400.961,1248.56,2511.5,1359.67,1703.52,-404.717,-279.432,-283.726,721.058,1417.11,243.903,-850.366,-1318.78
water,2833.13,1207.34,2833.13,-725.103,1720.86,1665.01,1037.84,388.642,-562.564,1838.29,-2515.29,-799.847,1743.27,2415.85,998.685,272.222,1277.45,2578.3,875.583,1836.61,78.7805,383.084,-463.492,762.725,1948.98,41.152,-1404.07,-1095.37
water,2590.21,1272.67,-567.686,1200.17,1591.18,2043.8,1608.75,2479.53,-536.586,1459.99,-1802.39,-386.238,1595.38,1349.21,850.651,284.01,1207.97,2545.59,2590.21,1559.34,-993.177,816.434,756.465,1450.77,2073.72,879.802,706.953,-1014.63
